label,dataset,vm,host
static,azure,10,1
static,azure,20,1
static,azure,30,1
static,azure,40,1
static,azure,50,2
static,azure,60,2
static,azure,70,2
static,azure,80,2
static,azure,90,2
static,azure,100,3
static,azure,110,3
static,azure,120,3
static,azure,130,3
static,azure,140,3
static,azure,150,4
static,azure,160,4
static,azure,170,4
static,azure,180,4
static,azure,190,4
static,azure,200,5
static,azure,210,5
static,azure,220,5
static,azure,230,5
static,azure,240,5
static,azure,250,6
static,azure,260,6
static,azure,270,6
static,azure,280,6
static,azure,290,7
static,azure,300,7
static,azure,310,7
static,azure,320,7
static,azure,330,7
static,azure,340,8
static,azure,350,8
static,azure,360,8
static,azure,370,8
static,azure,380,8
static,azure,390,9
static,azure,400,9
static,azure,410,9
static,azure,420,10
static,azure,430,10
static,azure,440,10
static,azure,450,10
static,azure,460,10
static,azure,470,10
static,azure,480,11
static,azure,490,11
static,azure,500,11
static,azure,510,11
static,azure,520,11
static,azure,530,12
static,azure,540,12
static,azure,550,12
static,azure,560,12
static,azure,570,12
static,azure,580,13
static,azure,590,13
static,azure,600,13
static,azure,610,14
static,azure,620,14
static,azure,630,14
static,azure,640,14
static,azure,650,15
static,azure,660,15
static,azure,670,15
static,azure,680,15
static,azure,690,15
static,azure,700,16
static,azure,710,16
static,azure,720,16
static,azure,730,16
static,azure,740,16
static,azure,750,16
static,azure,760,17
static,azure,770,17
static,azure,780,17
static,azure,790,17
static,azure,800,18
static,azure,810,18
static,azure,820,18
static,azure,830,18
static,azure,840,18
static,azure,850,19
static,azure,860,19
static,azure,870,19
static,azure,880,19
static,azure,890,19
static,azure,900,19
static,azure,910,20
static,azure,920,20
static,azure,930,20
static,azure,940,20
static,azure,950,21
static,azure,960,21
static,azure,970,21
static,azure,980,21
static,azure,990,21
static,azure,1000,22
